from_plate,from_well,source,volume_ul,plate,volume_well,nrow,ncol,volume_holdover,volume_usable,volume_user_input
ivl_1_flat_v1_0001,1.0,rb-current,750.0,ivl_1_flat_v1,40000,1,1,800,39200,1550.0
ivl_1_flat_v1_0001,2.0,rb-current,750.0,ivl_1_flat_v1,40000,1,1,800,39200,1550.0
ivl_1_flat_v1_0001,3.0,rb-current,750.0,ivl_1_flat_v1,40000,1,1,800,39200,1550.0
ivl_1_flat_v1_0001,4.0,rb-current,750.0,ivl_1_flat_v1,40000,1,1,800,39200,1550.0
ivl_1_flat_v1_0001,5.0,rb-current,750.0,ivl_1_flat_v1,40000,1,1,800,39200,1550.0
ivl_1_flat_v1_0001,6.0,rb-current,750.0,ivl_1_flat_v1,40000,1,1,800,39200,1550.0
ivl_1_flat_v1_0001,7.0,rb-current,750.0,ivl_1_flat_v1,40000,1,1,800,39200,1550.0
ivl_1_flat_v1_0001,8.0,rb-current,750.0,ivl_1_flat_v1,40000,1,1,800,39200,1550.0
ivl_384_flat_v1_0001,1.0,cap-b,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,3.0,cap-d-H-high,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,5.0,cap-d-H-low,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,7.0,cap-d-M-low,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_96_dw_v1_0001,1.0,conj-CNB-3h8,80.0,ivl_96_dw_v1,1000,8,12,60,940,140.0
ivl_96_dw_v1_0001,9.0,sample-neg-00,80.0,ivl_96_dw_v1,1000,8,12,60,940,140.0
ivl_96_dw_v1_0001,10.0,sample-neg-01,80.0,ivl_96_dw_v1,1000,8,12,60,940,140.0
ivl_96_dw_v1_0001,11.0,sample-pf-00,80.0,ivl_96_dw_v1,1000,8,12,60,940,140.0
ivl_96_dw_v1_0001,12.0,sample-pv-00,80.0,ivl_96_dw_v1,1000,8,12,60,940,140.0
ivl_96_dw_v1_0001,13.0,sample-pv-01,80.0,ivl_96_dw_v1,1000,8,12,60,940,140.0
